Unnamed: 0	mapping1	mapping2	id	label	language	LLama3 zero-shot (Sem Equiv)	LLama3 zero-shot (Ex. Same Content)	LLama3 zero-shot (Paraph)	Zero_Shot_Majority_vote	Zero_Shot_Paraph_AND_Same_Content	Zero_Shot_Paraph_AND_Sem_Equiv	Zero_Shot_ALL_THREE
59	backtransl_set1_00143_2	backtransl_set1_04792_2	60	0	en	1	0	1	1	0	1	0
60	backtransl_set3_01963_2	swap_08673_1	61	0	en	0	0	0	0	0	0	0
61	backtransl_set3_02549_2	swap_17964_1	62	0	en	1	1	1	1	1	1	1
62	backtransl_set1_08196_2	swap_40626_1	63	0	en	1	1	1	1	1	1	1
63	backtransl_set1_15221_2	swap_49572_1	64	0	en	1	1	1	1	1	1	1
64	backtransl_set1_04699_2	swap_41043_2	65	1	en	1	1	1	1	1	1	1
65	backtransl_set3_02958_2	swap_46582_2	66	1	en	1	1	1	1	1	1	1
66	backtransl_set3_03897_2	swap_36012_2	67	0	en	0	0	1	0	0	0	0
67	backtransl_set2_04287_2	swap_33378_2	68	1	en	1	1	1	1	1	1	1
68	swap_41447_2	backtransl_set3_04069_2	69	1	en	1	1	1	1	1	1	1
69	swap_48299_2	backtransl_set1_10326_2	70	1	en	0	0	0	0	0	0	0
70	backtransl_set1_16190_2	swap_43759_2	71	1	en	1	1	1	1	1	1	1
71	swap_42250_1	backtransl_set1_02275_2	72	1	en	0	1	1	1	1	0	0
72	backtransl_set1_13541_2	backtransl_set1_09391_2	73	0	en	0	0	0	0	0	0	0
73	backtransl_set3_03922_2	backtransl_set3_03087_2	74	0	en	0	0	0	0	0	0	0
74	swap_48574_2	backtransl_set1_15149_2	75	0	en	0	0	1	0	0	0	0
75	backtransl_set1_05275_2	backtransl_set1_03473_2	76	0	en	1	1	1	1	1	1	1
76	swap_26699_2	backtransl_set2_03329_2	77	0	en	1	1	1	1	1	1	1
77	backtransl_set2_02319_2	swap_34758_2	78	1	en	1	1	1	1	1	1	1
78	swap_17007_1	backtransl_set1_11057_2	79	0	en	0	0	1	0	0	0	0
79	swap_06591_2	backtransl_set2_03277_2	80	0	en	1	1	1	1	1	1	1
80	swap_05685_2	backtransl_set1_06422_2	81	0	en	1	0	0	0	0	0	0
81	backtransl_set3_00292_2	backtransl_set3_01664_2	82	0	en	0	0	1	0	0	0	0
82	backtransl_set1_00757_2	swap_37663_1	83	0	en	0	0	0	0	0	0	0
83	backtransl_set1_03842_2	backtransl_set1_00065_2	84	0	en	1	1	1	1	1	1	1
84	backtransl_set1_07552_2	swap_25221_2	85	1	en	1	1	1	1	1	1	1
85	swap_47629_2	backtransl_set3_02538_2	86	0	en	0	0	1	0	0	0	0
86	swap_28951_1	backtransl_set2_02068_2	87	1	en	1	1	1	1	1	1	1
87	backtransl_set2_01968_2	swap_22449_2	88	1	en	1	1	1	1	1	1	1
88	backtransl_set1_10881_2	backtransl_set1_03403_2	89	0	en	1	1	1	1	1	1	1
89	swap_29665_2	backtransl_set1_04260_2	90	0	en	0	0	0	0	0	0	0
90	backtransl_set1_08394_2	backtransl_set1_02386_2	91	0	en	0	0	1	0	0	0	0
91	backtransl_set3_01339_2	swap_18438_1	92	1	en	1	1	1	1	1	1	1
92	swap_46624_1	backtransl_set1_08285_2	93	1	en	1	1	1	1	1	1	1
93	swap_26982_1	backtransl_set1_12868_2	94	0	en	1	1	1	1	1	1	1
94	backtransl_set1_10784_2	backtransl_set1_08788_2	95	0	en	1	0	1	1	0	1	0
95	backtransl_set1_06674_2	swap_39179_2	96	1	en	1	1	1	1	1	1	1
96	swap_13518_1	backtransl_set1_06159_2	97	1	en	0	0	0	0	0	0	0
97	swap_47856_1	backtransl_set1_01669_2	98	0	en	1	0	1	1	0	1	0
98	backtransl_set1_15568_2	swap_21411_2	99	0	en	0	0	0	0	0	0	0
99	backtransl_set1_03015_2	swap_45730_1	100	1	en	1	1	1	1	1	1	1
100	backtransl_set2_02607_2	backtransl_set2_00695_2	101	0	en	0	0	0	0	0	0	0
101	backtransl_set1_14998_2	swap_16329_2	102	0	en	1	1	1	1	1	1	1
102	backtransl_set3_02903_2	backtransl_set3_01565_2	103	0	en	0	0	0	0	0	0	0
103	swap_08698_1	backtransl_set3_03702_2	104	0	en	0	0	0	0	0	0	0
104	backtransl_set1_07133_2	backtransl_set1_08081_2	105	0	en	0	0	1	0	0	0	0
105	backtransl_set1_06996_2	backtransl_set1_04754_2	106	0	en	1	0	1	1	0	1	0
106	backtransl_set1_13978_2	backtransl_set1_03753_2	107	0	en	0	0	0	0	0	0	0
107	backtransl_set3_00563_2	backtransl_set3_01395_2	108	0	en	0	0	1	0	0	0	0
108	backtransl_set2_00330_2	backtransl_set2_03537_2	109	0	en	1	1	1	1	1	1	1
109	swap_42417_2	backtransl_set1_10107_2	110	1	en	1	1	1	1	1	1	1
110	backtransl_set2_03050_2	swap_04764_2	111	0	en	0	0	0	0	0	0	0
111	backtransl_set1_09344_2	swap_14985_1	112	1	en	1	1	1	1	1	1	1
112	backtransl_set1_02969_2	swap_43729_1	113	0	en	0	0	1	0	0	0	0
113	backtransl_set1_08233_2	backtransl_set1_09724_2	114	0	en	1	0	1	1	0	1	0
114	swap_37507_2	backtransl_set3_00414_2	115	1	en	1	1	1	1	1	1	1
115	backtransl_set3_01882_2	swap_25722_1	116	0	en	0	1	1	1	1	0	0
116	backtransl_set2_00732_2	swap_42989_1	117	1	en	1	1	1	1	1	1	1
117	backtransl_set1_02221_2	swap_32531_1	118	0	en	1	1	1	1	1	1	1
118	swap_34202_2	backtransl_set1_02192_2	119	1	en	1	1	1	1	1	1	1
119	swap_40498_1	backtransl_set1_00208_2	120	1	en	1	0	1	1	0	1	0
120	swap_12711_2	backtransl_set1_10242_2	121	0	en	1	1	1	1	1	1	1
121	backtransl_set1_01567_2	backtransl_set1_02701_2	122	0	en	0	0	0	0	0	0	0
122	swap_05863_1	backtransl_set1_15450_2	123	1	en	1	1	1	1	1	1	1
123	backtransl_set2_05339_2	swap_16792_2	124	0	en	1	1	1	1	1	1	1
124	swap_30498_2	backtransl_set3_05304_2	125	1	en	0	1	1	1	1	0	0
125	backtransl_set1_07298_2	swap_31617_2	126	0	en	0	0	1	0	0	0	0
126	backtransl_set1_13715_2	swap_11991_2	127	0	en	0	0	0	0	0	0	0
127	backtransl_set1_11661_2	swap_30494_1	128	0	en	1	0	1	1	0	1	0
128	backtransl_set1_06078_2	swap_29112_2	129	1	en	1	1	1	1	1	1	1
129	backtransl_set1_11408_2	backtransl_set1_11096_2	130	1	en	1	1	1	1	1	1	1
130	backtransl_set1_00883_2	swap_29413_1	131	0	en	1	0	1	1	0	1	0
131	swap_03398_2	backtransl_set1_12763_2	132	1	en	1	1	1	1	1	1	1
132	swap_09408_2	backtransl_set3_04310_2	133	1	en	0	0	1	0	0	0	0
133	backtransl_set2_02195_2	swap_29226_1	134	0	en	0	0	0	0	0	0	0
134	swap_11190_2	backtransl_set1_00242_2	135	1	en	1	1	1	1	1	1	1
135	backtransl_set3_00221_2	swap_22280_2	136	0	en	1	1	1	1	1	1	1
136	backtransl_set1_15790_2	swap_39267_1	137	1	en	1	1	1	1	1	1	1
137	backtransl_set2_01364_2	swap_29149_2	138	1	en	1	1	1	1	1	1	1
138	backtransl_set2_04740_2	backtransl_set2_03119_2	139	0	en	0	0	1	0	0	0	0
139	backtransl_set1_00299_2	swap_26108_1	140	1	en	1	1	1	1	1	1	1
140	swap_14355_2	backtransl_set2_00927_2	141	1	en	1	1	1	1	1	1	1
141	swap_26816_2	backtransl_set1_13591_2	142	0	en	0	0	0	0	0	0	0
142	backtransl_set2_02535_2	backtransl_set2_05262_2	143	0	en	0	1	1	1	1	0	0
143	swap_06118_1	backtransl_set1_14309_2	144	0	en	0	0	1	0	0	0	0
144	backtransl_set1_06770_2	swap_35926_1	145	1	en	0	1	1	1	1	0	0
145	swap_11661_2	backtransl_set3_00514_2	146	0	en	1	1	1	1	1	1	1
146	backtransl_set2_01511_2	swap_28443_2	147	1	en	1	1	1	1	1	1	1
147	backtransl_set1_07894_2	swap_15342_2	148	1	en	1	1	1	1	1	1	1
148	backtransl_set3_02888_2	backtransl_set3_02103_2	149	0	en	1	0	1	1	0	1	0
149	swap_06485_1	backtransl_set1_09373_2	150	0	en	1	1	1	1	1	1	1
150	swap_04485_1	backtransl_set1_02300_2	151	0	en	1	1	1	1	1	1	1
151	backtransl_set1_13628_2	swap_39206_2	152	0	en	0	1	1	1	1	0	0
152	swap_17947_2	backtransl_set1_00637_2	153	1	en	1	1	1	1	1	1	1
153	backtransl_set2_00433_2	swap_02463_1	154	0	en	1	1	1	1	1	1	1
154	backtransl_set1_10431_2	swap_11247_2	155	0	en	1	0	1	1	0	1	0
155	swap_21182_2	backtransl_set2_00721_2	156	0	en	1	0	1	1	0	1	0
156	backtransl_set1_09496_2	backtransl_set1_13130_2	157	0	en	0	0	1	0	0	0	0
157	backtransl_set1_12432_2	swap_45734_2	158	1	en	1	0	1	1	0	1	0
158	backtransl_set1_13849_2	swap_11259_1	159	1	en	1	1	1	1	1	1	1
159	swap_09463_1	backtransl_set2_04337_2	160	1	en	1	1	1	1	1	1	1
160	backtransl_set2_00660_2	swap_30296_2	161	0	en	0	0	0	0	0	0	0
161	swap_47892_2	backtransl_set1_14811_2	162	0	en	0	0	1	0	0	0	0
162	swap_32191_1	backtransl_set1_01006_2	163	1	en	1	1	1	1	1	1	1
163	swap_46518_2	backtransl_set1_13357_2	164	1	en	1	1	1	1	1	1	1
164	swap_18129_2	backtransl_set1_06924_2	165	1	en	1	1	1	1	1	1	1
165	backtransl_set1_13614_2	backtransl_set1_13533_2	166	0	en	0	0	0	0	0	0	0
166	backtransl_set3_01398_2	swap_11324_1	167	0	en	0	0	1	0	0	0	0
167	backtransl_set3_01894_2	backtransl_set3_04295_2	168	0	en	0	0	1	0	0	0	0
168	backtransl_set3_00898_2	swap_30462_2	169	1	en	1	1	1	1	1	1	1
169	backtransl_set1_10172_2	swap_21643_1	170	1	en	1	1	1	1	1	1	1
170	backtransl_set1_07155_2	swap_38474_1	171	1	en	1	1	1	1	1	1	1
171	backtransl_set1_06658_2	swap_29596_1	172	1	en	1	1	1	1	1	1	1
172	backtransl_set1_15968_2	swap_27487_2	173	0	en	1	1	1	1	1	1	1
173	swap_43620_2	backtransl_set1_13780_2	174	0	en	1	1	1	1	1	1	1
174	swap_48045_2	backtransl_set1_08139_2	175	0	en	0	0	0	0	0	0	0
175	backtransl_set1_09414_2	swap_08609_1	176	1	en	1	1	1	1	1	1	1
176	backtransl_set2_02164_2	backtransl_set2_03888_2	177	0	en	1	1	1	1	1	1	1
177	backtransl_set1_09136_2	swap_29036_1	178	1	en	1	1	1	1	1	1	1
178	backtransl_set3_04469_2	swap_40099_1	179	1	en	1	1	1	1	1	1	1
179	backtransl_set3_02060_2	backtransl_set3_03486_2	180	0	en	1	1	1	1	1	1	1
180	backtransl_set1_04126_2	swap_15591_2	181	1	en	1	1	1	1	1	1	1
181	swap_14931_2	backtransl_set1_07662_2	182	0	en	0	0	0	0	0	0	0
182	swap_13381_2	backtransl_set1_02726_2	183	1	en	1	1	1	1	1	1	1
183	backtransl_set2_04866_2	swap_48096_2	184	0	en	1	1	1	1	1	1	1
184	swap_22610_2	backtransl_set3_04647_2	185	1	en	1	1	1	1	1	1	1
185	swap_49603_2	backtransl_set3_02809_2	186	1	en	1	1	1	1	1	1	1
186	swap_01135_1	backtransl_set2_03438_2	187	1	en	1	1	1	1	1	1	1
187	swap_28851_2	backtransl_set2_01292_2	188	0	en	0	0	0	0	0	0	0
188	backtransl_set1_06502_2	swap_20350_2	189	1	en	1	1	1	1	1	1	1
189	backtransl_set1_00055_2	swap_05384_1	190	1	en	1	1	1	1	1	1	1
190	backtransl_set1_09086_2	backtransl_set1_01399_2	191	0	en	0	0	0	0	0	0	0
191	swap_18193_2	backtransl_set1_09542_2	192	1	en	0	0	1	0	0	0	0
192	backtransl_set2_02349_2	swap_26103_2	193	0	en	1	1	1	1	1	1	1
193	swap_14210_1	backtransl_set1_07040_2	194	1	en	1	1	1	1	1	1	1
194	backtransl_set1_15252_2	swap_12426_1	195	0	en	1	0	1	1	0	1	0
195	backtransl_set3_00681_2	swap_40741_2	196	0	en	1	1	1	1	1	1	1
196	backtransl_set1_10272_2	swap_33075_1	197	0	en	1	1	1	1	1	1	1
197	backtransl_set1_03753_2	swap_48034_2	198	0	en	0	0	0	0	0	0	0
198	backtransl_set1_15525_2	swap_25440_2	199	1	en	1	1	1	1	1	1	1
199	swap_10506_1	backtransl_set1_07265_2	200	0	en	0	0	1	0	0	0	0
200	backtransl_set1_11703_2	swap_28166_1	201	0	en	1	1	1	1	1	1	1
201	backtransl_set1_04344_2	backtransl_set1_13921_2	202	1	en	1	1	1	1	1	1	1
202	backtransl_set1_12345_2	swap_33113_1	203	0	en	0	0	1	0	0	0	0
203	swap_42802_2	backtransl_set1_06248_2	204	0	en	1	1	1	1	1	1	1
204	backtransl_set1_07791_2	swap_35221_2	205	0	en	0	0	0	0	0	0	0
205	backtransl_set1_07958_2	swap_38110_1	206	1	en	1	1	1	1	1	1	1
206	swap_07419_2	backtransl_set1_15472_2	207	0	en	0	0	1	0	0	0	0
207	backtransl_set1_07670_2	swap_43958_2	208	1	en	1	1	1	1	1	1	1
208	backtransl_set2_02163_2	swap_43936_2	209	1	en	1	1	1	1	1	1	1
209	swap_02196_1	backtransl_set1_12358_2	210	1	en	0	0	1	0	0	0	0
210	backtransl_set1_01843_2	backtransl_set1_04692_2	211	0	en	0	0	1	0	0	0	0
211	backtransl_set1_15668_2	backtransl_set1_02624_2	212	0	en	0	0	0	0	0	0	0
212	backtransl_set3_00941_2	swap_33825_2	213	1	en	1	1	1	1	1	1	1
213	backtransl_set2_00884_2	swap_11839_1	214	1	en	1	1	1	1	1	1	1
214	backtransl_set1_09169_2	swap_13832_2	215	0	en	1	1	1	1	1	1	1
215	backtransl_set1_02832_2	swap_42472_1	216	0	en	1	0	0	0	0	0	0
216	backtransl_set1_01719_2	swap_23437_1	217	1	en	1	1	1	1	1	1	1
217	backtransl_set1_11778_2	swap_38085_2	218	1	en	1	1	1	1	1	1	1
218	swap_42795_2	backtransl_set1_04558_2	219	0	en	1	1	1	1	1	1	1
219	backtransl_set1_10017_2	swap_12124_2	220	1	en	1	1	1	1	1	1	1
220	swap_47770_1	backtransl_set1_09144_2	221	1	en	0	0	1	0	0	0	0
221	backtransl_set1_15108_2	backtransl_set1_04499_2	222	0	en	1	1	1	1	1	1	1
222	swap_41064_1	backtransl_set1_07841_2	223	1	en	1	1	1	1	1	1	1
223	swap_01317_2	backtransl_set1_01112_2	224	1	en	0	0	0	0	0	0	0
224	backtransl_set1_13561_2	swap_20928_2	225	1	en	1	1	1	1	1	1	1
225	backtransl_set2_03879_2	swap_16053_1	226	0	en	0	1	1	1	1	0	0
226	backtransl_set1_11347_2	swap_43677_2	227	1	en	1	1	1	1	1	1	1
227	backtransl_set1_11890_2	backtransl_set1_12885_2	228	0	en	1	1	1	1	1	1	1
228	swap_25342_2	backtransl_set3_03022_2	229	1	en	1	1	1	1	1	1	1
229	swap_02273_1	backtransl_set2_01555_2	230	0	en	0	0	1	0	0	0	0
230	swap_24493_1	backtransl_set1_04889_2	231	1	en	1	1	1	1	1	1	1
231	backtransl_set1_07417_2	swap_15139_2	232	1	en	0	0	0	0	0	0	0
232	swap_46139_2	backtransl_set2_04453_2	233	1	en	1	0	1	1	0	1	0
233	backtransl_set1_00614_2	swap_13452_1	234	0	en	1	1	1	1	1	1	1
234	swap_29615_1	backtransl_set1_00309_2	235	1	en	1	1	1	1	1	1	1
235	backtransl_set1_15214_2	backtransl_set1_11142_2	236	0	en	1	1	1	1	1	1	1
236	backtransl_set1_04144_2	swap_31263_2	237	1	en	1	1	1	1	1	1	1
237	backtransl_set1_09981_2	swap_35074_1	238	0	en	0	0	0	0	0	0	0
238	swap_01554_2	backtransl_set1_12241_2	239	0	en	0	0	1	0	0	0	0
239	backtransl_set1_03549_2	swap_48349_1	240	0	en	1	0	1	1	0	1	0
240	backtransl_set1_05461_2	swap_44992_1	241	0	en	1	0	1	1	0	1	0
241	backtransl_set3_02467_2	swap_49211_1	242	1	en	1	1	1	1	1	1	1
242	backtransl_set3_00203_2	swap_48218_2	243	1	en	1	1	1	1	1	1	1
243	swap_10215_1	backtransl_set2_05056_2	244	0	en	0	0	0	0	0	0	0
244	backtransl_set1_12498_2	backtransl_set1_01694_2	245	0	en	1	1	1	1	1	1	1
245	backtransl_set3_01861_2	swap_20049_1	246	1	en	1	1	1	1	1	1	1
246	swap_23762_2	backtransl_set1_09009_2	247	0	en	1	1	1	1	1	1	1
247	backtransl_set1_09006_2	backtransl_set1_13911_2	248	0	en	0	0	1	0	0	0	0
248	backtransl_set1_09920_2	swap_05187_1	249	0	en	1	1	1	1	1	1	1
249	backtransl_set1_05434_2	swap_20192_2	250	1	en	0	0	1	0	0	0	0
250	backtransl_set1_07889_2	backtransl_set1_05433_2	251	0	en	0	0	0	0	0	0	0
251	backtransl_set1_13920_2	backtransl_set1_10274_2	252	0	en	0	0	1	0	0	0	0
252	backtransl_set1_06677_2	swap_03976_2	253	1	en	1	0	1	1	0	1	0
253	swap_16852_1	backtransl_set1_14511_2	254	1	en	1	1	1	1	1	1	1
254	swap_27892_1	backtransl_set1_01767_2	255	0	en	0	0	0	0	0	0	0
255	backtransl_set1_01867_2	swap_41195_1	256	1	en	1	1	1	1	1	1	1
256	backtransl_set1_15650_2	backtransl_set1_05086_2	257	1	en	1	1	1	1	1	1	1
257	backtransl_set2_01245_2	swap_19127_1	258	1	en	1	1	1	1	1	1	1
258	swap_32998_2	backtransl_set3_03100_2	259	0	en	0	0	1	0	0	0	0
259	backtransl_set1_14504_2	swap_09237_1	260	0	en	0	0	1	0	0	0	0
260	backtransl_set3_00740_2	backtransl_set3_00568_2	261	1	en	1	1	1	1	1	1	1
261	swap_02758_1	backtransl_set1_13181_2	262	0	en	1	0	1	1	0	1	0
262	backtransl_set2_01415_2	swap_16937_2	263	1	en	1	0	1	1	0	1	0
263	backtransl_set2_01945_2	swap_27954_2	264	1	en	0	0	0	0	0	0	0
264	swap_36572_2	backtransl_set2_05003_2	265	0	en	1	0	1	1	0	1	0
265	backtransl_set3_00382_2	swap_04421_1	266	1	en	1	1	1	1	1	1	1
266	backtransl_set1_03437_2	swap_17832_2	267	1	en	1	1	1	1	1	1	1
267	backtransl_set2_00565_2	swap_09786_2	268	1	en	1	1	1	1	1	1	1
268	backtransl_set1_00642_2	swap_44725_1	269	0	en	1	1	1	1	1	1	1
269	backtransl_set1_11064_2	swap_38887_1	270	1	en	0	0	0	0	0	0	0
270	backtransl_set1_03464_2	swap_05720_2	271	1	en	1	1	1	1	1	1	1
271	swap_36504_1	backtransl_set1_12576_2	272	1	en	1	1	1	1	1	1	1
272	backtransl_set3_05283_2	backtransl_set3_01477_2	273	0	en	1	1	1	1	1	1	1
273	backtransl_set2_00279_2	backtransl_set2_02585_2	274	1	en	1	1	1	1	1	1	1
274	swap_23408_1	backtransl_set3_02259_2	275	0	en	0	0	1	0	0	0	0
275	swap_19727_1	backtransl_set1_07402_2	276	1	en	1	1	1	1	1	1	1
276	swap_22676_2	backtransl_set3_00328_2	277	1	en	1	1	1	1	1	1	1
277	backtransl_set1_08540_2	backtransl_set1_01222_2	278	0	en	1	1	1	1	1	1	1
278	swap_00798_2	backtransl_set3_03432_2	279	1	en	1	1	1	1	1	1	1
279	backtransl_set1_14972_2	swap_31687_2	280	1	en	0	0	1	0	0	0	0
280	backtransl_set1_16193_2	swap_22303_1	281	0	en	1	1	1	1	1	1	1
281	backtransl_set1_04391_2	swap_32448_2	282	1	en	1	1	1	1	1	1	1
282	swap_11543_1	backtransl_set1_11874_2	283	1	en	1	1	1	1	1	1	1
283	backtransl_set2_03412_2	backtransl_set2_02343_2	284	0	en	1	1	1	1	1	1	1
284	backtransl_set2_04192_2	swap_31881_1	285	0	en	0	0	1	0	0	0	0
285	swap_19240_2	backtransl_set1_03472_2	286	1	en	1	1	1	1	1	1	1
286	swap_10966_1	backtransl_set1_14944_2	287	0	en	0	0	0	0	0	0	0
287	backtransl_set2_01805_2	swap_08000_2	288	0	en	1	0	1	1	0	1	0
288	backtransl_set1_00533_2	swap_46208_2	289	1	en	1	1	1	1	1	1	1
289	swap_37510_2	backtransl_set1_05940_2	290	0	en	0	0	0	0	0	0	0
290	backtransl_set2_03122_2	swap_29398_2	291	1	en	1	1	1	1	1	1	1
291	backtransl_set1_03375_2	swap_19199_1	292	1	en	1	1	1	1	1	1	1
292	backtransl_set1_09726_2	swap_44984_2	293	1	en	1	1	1	1	1	1	1
293	swap_43165_2	backtransl_set1_11566_2	294	0	en	0	0	0	0	0	0	0
294	swap_23218_2	backtransl_set1_09274_2	295	0	en	1	1	1	1	1	1	1
295	swap_46076_2	backtransl_set1_14043_2	296	0	en	1	1	1	1	1	1	1
296	backtransl_set3_03520_2	swap_34395_2	297	1	en	1	1	1	1	1	1	1
297	swap_38574_1	backtransl_set3_04410_2	298	0	en	0	0	1	0	0	0	0
298	backtransl_set3_04283_2	swap_36027_2	299	1	en	1	1	1	1	1	1	1
299	backtransl_set2_02245_2	swap_33914_1	300	1	en	1	1	1	1	1	1	1
300	backtransl_set1_02793_2	swap_29539_2	301	0	en	1	1	1	1	1	1	1
301	swap_09466_2	backtransl_set1_13677_2	302	1	en	1	1	1	1	1	1	1
302	swap_00092_1	backtransl_set3_03479_2	303	0	en	0	1	1	1	1	0	0
303	swap_28238_1	backtransl_set3_03389_2	304	0	en	0	0	0	0	0	0	0
304	backtransl_set3_00341_2	swap_04980_1	305	1	en	1	1	1	1	1	1	1
305	backtransl_set3_00869_2	backtransl_set3_03207_2	306	0	en	0	0	1	0	0	0	0
306	swap_04878_1	backtransl_set1_04077_2	307	0	en	0	0	0	0	0	0	0
307	backtransl_set1_13150_2	backtransl_set1_15105_2	308	0	en	1	1	1	1	1	1	1
308	swap_18480_2	backtransl_set1_01433_2	309	0	en	1	0	1	1	0	1	0
309	swap_25216_1	backtransl_set1_02465_2	310	0	en	1	1	1	1	1	1	1
310	backtransl_set3_03090_2	backtransl_set3_00454_2	311	0	en	1	1	1	1	1	1	1
