id	data set	lang	sentence1	sentence2	score	XLM-RoBERTa-EN-ALLTHREE-V2-1	XLM-RoBERTa-EN-ALLTHREE-V2-2	XLM-RoBERTa-EN-ALLTHREE-V2-3	XLM-RoBERTa-EN-ALLTHREE-V3-1	XLM-RoBERTa-EN-ALLTHREE-V3-2	XLM-RoBERTa-EN-ALLTHREE-V3-3	XLM-RoBERTa-EN-ALLTHREE-V4-1	XLM-RoBERTa-EN-ALLTHREE-V4-2	XLM-RoBERTa-EN-ALLTHREE-V4-3	XLM-RoBERTa-EN-ORIG-V2-1	XLM-RoBERTa-EN-ORIG-V2-2	XLM-RoBERTa-EN-ORIG-V2-3	XLM-RoBERTa-EN-ORIG-V3-1	XLM-RoBERTa-EN-ORIG-V3-2	XLM-RoBERTa-EN-ORIG-V3-3	XLM-RoBERTa-EN-ORIG-V4-2	XLM-RoBERTa-EN-ORIG-V4-3	XLM-RoBERTa-EN-PARAPH-V2-1	XLM-RoBERTa-EN-PARAPH-V2-2	XLM-RoBERTa-EN-PARAPH-V2-3	XLM-RoBERTa-EN-PARAPH-V3-1	XLM-RoBERTa-EN-PARAPH-V3-2	XLM-RoBERTa-EN-PARAPH-V3-3	XLM-RoBERTa-EN-PARAPH-V4-1	XLM-RoBERTa-EN-PARAPH-V4-2	XLM-RoBERTa-EN-PARAPH-V4-3	XLM-RoBERTa-EN-SAMECONTENT-V2-2	XLM-RoBERTa-EN-SAMECONTENT-V2-3	XLM-RoBERTa-EN-SAMECONTENT-V3-1	XLM-RoBERTa-EN-SAMECONTENT-V3-2	XLM-RoBERTa-EN-SAMECONTENT-V3-3	XLM-RoBERTa-EN-SAMECONTENT-V4-1	XLM-RoBERTa-EN-SAMECONTENT-V4-2	XLM-RoBERTa-EN-SAMECONTENT-V4-3	LLama3 zero-shot (Paraph)	LLama3 zero-shot (Ex. Same Content)	LLama3 zero-shot (Sem Equiv)	XLM-RoBERTa-EN-EASYNEG-25-V2-1	XLM-RoBERTa-EN-EASYNEG-25-V2-2	XLM-RoBERTa-EN-EASYNEG-25-V2-3	XLM-RoBERTa-EN-EASYNEG-25-V3-1	XLM-RoBERTa-EN-EASYNEG-25-V3-2	XLM-RoBERTa-EN-EASYNEG-25-V3-3	XLM-RoBERTa-EN-EASYNEG-25-V4-1	XLM-RoBERTa-EN-EASYNEG-25-V4-2	XLM-RoBERTa-EN-EASYNEG-25-V4-3	XLM-RoBERTa-EN-EASYNEG-50-V2-1	XLM-RoBERTa-EN-EASYNEG-50-V2-2	XLM-RoBERTa-EN-EASYNEG-50-V2-3	XLM-RoBERTa-EN-EASYNEG-50-V3-1	XLM-RoBERTa-EN-EASYNEG-50-V3-2	XLM-RoBERTa-EN-EASYNEG-50-V3-3	XLM-RoBERTa-EN-EASYNEG-50-V4-1	XLM-RoBERTa-EN-EASYNEG-50-V4-2	XLM-RoBERTa-EN-EASYNEG-50-V4-3	XLM-RoBERTa-EN-EASYNEG-75-V2-1	XLM-RoBERTa-EN-EASYNEG-75-V2-2	XLM-RoBERTa-EN-EASYNEG-75-V2-3	XLM-RoBERTa-EN-EASYNEG-75-V3-1	XLM-RoBERTa-EN-EASYNEG-75-V3-2	XLM-RoBERTa-EN-EASYNEG-75-V3-3	XLM-RoBERTa-EN-EASYNEG-75-V4-1	XLM-RoBERTa-EN-EASYNEG-75-V4-2	XLM-RoBERTa-EN-EASYNEG-75-V4-3	XLM-RoBERTa-EN-SEMEQUIV-V2-1	XLM-RoBERTa-EN-SEMEQUIV-V2-2	XLM-RoBERTa-EN-SEMEQUIV-V2-3	XLM-RoBERTa-EN-SEMEQUIV-V3-1	XLM-RoBERTa-EN-SEMEQUIV-V3-2	XLM-RoBERTa-EN-SEMEQUIV-V3-3	XLM-RoBERTa-EN-SEMEQUIV-V4-1	XLM-RoBERTa-EN-SEMEQUIV-V4-2	XLM-RoBERTa-EN-SEMEQUIV-V4-3	LLama3 ICL_4 (Paraph)	LLama3 ICL_4 (Ex. Same Content)	LLama3 ICL_4 (Sem Equiv)
stanfordnlp/snli-46	stanfordnlp/snli	en	Cowboy falling off horse.	During calf roping a cowboy calls off his horse.	-1.0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
stanfordnlp/snli-47-hard	stanfordnlp/snli	en	A man ropes a calf successfully.	During calf roping a cowboy calls off his horse.	-1.0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0
stanfordnlp/snli-49	stanfordnlp/snli	en	The boy is playing on the swings after school.	A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.	0.0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0
stanfordnlp/snli-50-hard	stanfordnlp/snli	en	The boy is sitting on the school bus on his way home.	A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.	-1.0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0
stanfordnlp/snli-51	stanfordnlp/snli	en	An archeologist wearing a hat squats to examine the site for a dig	A woman wearing a ball cap squats down to touch the cracked earth.	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
stanfordnlp/snli-53	stanfordnlp/snli	en	A woman wearing a sun bonnet planting a garden.	A woman wearing a ball cap squats down to touch the cracked earth.	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
stanfordnlp/snli-54	stanfordnlp/snli	en	Two children are building a brick furnace.	Two children re laying on a rug with some wooden bricks laid out in a square between them.	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0
stanfordnlp/snli-55-hard	stanfordnlp/snli	en	Two children are playing catch at a park.	Two children re laying on a rug with some wooden bricks laid out in a square between them.	-1.0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0
stanfordnlp/snli-58	stanfordnlp/snli	en	two girls walk through a hall	A man standing in front of a building on the phone as two men to the side pain on the side.	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0
stanfordnlp/snli-59-hard	stanfordnlp/snli	en	a busy man stands with bodyguards	A man standing in front of a building on the phone as two men to the side pain on the side.	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0
stanfordnlp/snli-61	stanfordnlp/snli	en	Two girls play dress up indoors.	The two young girls are dressed as fairies, and are playing in the leaves outdoors.	-1.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stanfordnlp/snli-62	stanfordnlp/snli	en	The two girls play in the Autumn.	The two young girls are dressed as fairies, and are playing in the leaves outdoors.	0.0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0
stanfordnlp/snli-63	stanfordnlp/snli	en	Some people look visually afraid to jump.	People jump over a mountain crevasse on a rope.	0.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0
stanfordnlp/snli-65-hard	stanfordnlp/snli	en	People slide over a mountain crevasse on a slide.	People jump over a mountain crevasse on a rope.	-1.0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
stanfordnlp/snli-67	stanfordnlp/snli	en	A snowboarder gliding over a field of snow	A snowboarder on a wide plain of snow	0.0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
stanfordnlp/snli-68-hard	stanfordnlp/snli	en	A snowmobile in a blizzard	A snowboarder on a wide plain of snow	0.0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0
