	split	genre	dataset	year	sid	score	sentence1	sentence2	LLama3 zero-shot (Ex. Same Content)	LLama3 zero-shot (Sem Equiv)	LLama3 zero-shot (Paraph)	Zero_Shot_ALL_THREE	Zero_Shot_Majority_vote
79	train	main-captions	MSRvid	2012test	116	5.0	A man is tying his shoe.	A man ties his shoe.	1	1	1	1	1
80	train	main-captions	MSRvid	2012test	117	3.0	A boy is singing and playing the piano.	A boy is playing the piano.	0	0	1	0	0
81	train	main-captions	MSRvid	2012test	118	4.25	A dog is eating water melon.	A dog is eating a piece of watermelon.	0	1	1	0	1
82	train	main-captions	MSRvid	2012test	119	4.25	A woman is chopping broccoli.	A woman is chopping broccoli with a knife.	1	1	1	1	1
83	train	main-captions	MSRvid	2012test	120	3.8	A man is peeling a potato.	A man peeled a potatoe.	0	0	0	0	0
84	train	main-captions	MSRvid	2012test	121	2.4	A woman is playing a guitar.	A man plays a guitar.	0	0	0	0	0
85	train	main-captions	MSRvid	2012test	123	1.6	A woman is slicing tomato.	A man is slicing onion.	0	0	0	0	0
86	train	main-captions	MSRvid	2012test	125	2.0	A man swims underwater.	A woman is swimming underwater.	0	0	0	0	0
87	train	main-captions	MSRvid	2012test	126	1.6	A man and woman are talking.	A man and woman is eating.	0	0	0	0	0
88	train	main-captions	MSRvid	2012test	129	4.0	A small dog is chasing a yoga ball.	A dog is chasing a ball.	0	1	1	0	1
89	train	main-captions	MSRvid	2012test	130	2.2	The men are playing cricket.	The men are playing basketball.	0	0	0	0	0
90	train	main-captions	MSRvid	2012test	131	4.4	A man rides off on a motorcycle.	A man is riding on a motorcycle.	1	1	1	1	1
91	train	main-captions	MSRvid	2012test	132	3.6	A man is playing a guitar.	A man is singing and playing a guitar.	0	0	1	0	0
92	train	main-captions	MSRvid	2012test	133	3.6	The man talked on the telephone.	The man is talking on the phone.	1	1	1	1	1
93	train	main-captions	MSRvid	2012test	135	0.5	A man is fishing.	A man is exercising.	0	0	0	0	0
94	train	main-captions	MSRvid	2012test	136	0.8	A man is levitating.	A man is talking.	0	0	0	0	0
95	train	main-captions	MSRvid	2012test	138	0.6	Two boys are driving.	Two bays are dancing.	0	0	0	0	0
96	train	main-captions	MSRvid	2012test	141	2.6	A man is riding on a horse.	A girl is riding a horse.	0	0	0	0	0
97	train	main-captions	MSRvid	2012test	142	2.0	A man is riding a bicycle.	A monkey is riding a bike.	0	0	0	0	0
98	train	main-captions	MSRvid	2012test	143	2.2	A man is slicing potatoes.	A woman is peeling potato.	0	0	0	0	0
99	train	main-captions	MSRvid	2012test	144	2.4	A woman is peeling a potato.	A man is slicing potato.	0	0	0	0	0
100	train	main-captions	MSRvid	2012test	145	3.6	A man is playing a guitar.	Someoen is playing guitar.	0	0	1	0	0
101	train	main-captions	MSRvid	2012test	148	2.2	A woman is slicing a leek.	A woman is slicing ginger.	0	0	0	0	0
102	train	main-captions	MSRvid	2012test	149	4.8	The man cut a paper plate.	A man is cutting a paper plate.	0	0	1	0	0
103	train	main-captions	MSRvid	2012test	151	1.643	The man is playing the guitar.	A man is playing the flute.	0	0	0	0	0
104	train	main-captions	MSRvid	2012test	152	1.75	A man is playing the piano.	The man is playing the violin.	0	0	0	0	0
105	train	main-captions	MSRvid	2012test	154	2.25	A woman is slicing up some meat.	A woman is breading some meat.	0	0	0	0	0
106	train	main-captions	MSRvid	2012test	155	4.0	A man is playing on his keyboard.	A man is playing a keyboard piano.	1	1	1	1	1
107	train	main-captions	MSRvid	2012test	157	4.8	The lady chopped up the green onions.	The lady cut up a green onion.	1	1	1	1	1
108	train	main-captions	MSRvid	2012test	158	3.2	Someone is sitring noodles in water.	A woman is boiling noodles in water.	0	0	1	0	0
109	train	main-captions	MSRvid	2012test	160	4.0	Lionel Richie is dancing on the ceiling.	Lionel Ritchie dances while standing on the ceiling.	0	1	1	0	1
110	train	main-captions	MSRvid	2012test	161	4.4	A man is playing a piano.	A person is playing the piano.	1	1	1	1	1
111	train	main-captions	MSRvid	2012test	163	4.6	A woman is playing flute.	A woman plays on a flute.	1	1	1	1	1
112	train	main-captions	MSRvid	2012test	164	3.8	A boy is checking a calender.	A boy is looking at a calendar.	1	1	1	1	1
113	train	main-captions	MSRvid	2012test	165	4.8	A woman is cutting an onion.	A woman is chopping onions.	1	1	1	1	1
114	train	main-captions	MSRvid	2012test	166	4.857	A man is playing guitar.	A man plays a guitar.	1	1	1	1	1
115	train	main-captions	MSRvid	2012test	167	5.0	A woman is using a sewing machine.	A woman is sewing on a machine.	1	1	1	1	1
116	train	main-captions	MSRvid	2012test	168	2.533	A woman is flipping pancakes.	A cartoon chef is flipping pancakes.	0	0	0	0	0
117	train	main-captions	MSRvid	2012test	172	1.0	A man is running on the road.	A car is driving down the road.	0	0	0	0	0
118	train	main-captions	MSRvid	2012test	175	1.0	A man is riding on a horse.	A man is talking on a phone.	0	0	0	0	0
119	train	main-captions	MSRvid	2012test	176	2.0	A man is riding a bike.	A man is riding on a horse.	0	0	0	0	0
120	train	main-captions	MSRvid	2012test	178	0.143	A woman is dancing.	A man is eating.	0	0	0	0	0
121	train	main-captions	MSRvid	2012test	179	2.0	A man is playing a piano.	A man is playing a flute.	0	0	0	0	0
122	train	main-captions	MSRvid	2012test	180	1.6	A man is playing a flute.	A man is playing a piano.	0	0	0	0	0
123	train	main-captions	MSRvid	2012test	182	1.6	A man is spinning.	A man is dancing.	0	0	1	0	0
124	train	main-captions	MSRvid	2012test	184	3.4	A monkey is swinging from limb to limb.	A monkey is swinging from tree to tree.	0	1	1	0	1
125	train	main-captions	MSRvid	2012test	185	4.0	The people got off the train.	The people got off the train at the station.	0	0	1	0	0
126	train	main-captions	MSRvid	2012test	187	4.8	A dog is jumping on a trampoline.	A dog bounces on a trampoline.	1	1	1	1	1
127	train	main-captions	MSRvid	2012test	188	2.5	A boy is playing an instrument.	A man is playing a trumpet.	0	0	0	0	0
128	train	main-captions	MSRvid	2012test	190	1.75	A woman plays the guitar.	A man sings and plays the guitar.	0	0	0	0	0
129	train	main-captions	MSRvid	2012test	191	1.0	A woman is picking a can.	A woman is slicing a tomato.	0	0	0	0	0
130	train	main-captions	MSRvid	2012test	192	5.0	A man is climbing a rope.	A man climbs up a rope.	1	1	1	1	1
131	train	main-captions	MSRvid	2012test	193	1.4	A man is lifting a car.	A man is climbing a wall.	0	0	0	0	0
132	train	main-captions	MSRvid	2012test	195	4.0	A man and woman are driving down the street in a jeep.	A man and woman are driving down the road in an open air vehicle.	1	1	1	1	1
133	train	main-captions	MSRvid	2012test	196	3.8	The shirtless man sat in a chair.	A shirtless man is sitting on a chair.	1	0	1	0	1
134	train	main-captions	MSRvid	2012test	198	4.0	Two women are wrestling.	Two women are wrestling on the floor.	1	0	1	0	1
135	train	main-captions	MSRvid	2012test	199	4.0	The puppy played with a blue tennis ball.	A puppy is playing with a tennis ball.	0	0	1	0	0
136	train	main-captions	MSRvid	2012test	200	4.8	A kangroo is eating something.	A kangaroo is eating.	0	0	0	0	0
137	train	main-captions	MSRvid	2012test	201	0.6	A cat is playing a piano.	A man is playing a guitar.	0	0	0	0	0
138	train	main-captions	MSRvid	2012test	202	4.75	The man cut some carpet with a knife.	A man is cutting carpet with a knife.	0	0	1	0	0
139	train	main-captions	MSRvid	2012test	203	2.2	A woman is riding a motorized scooter down a road.	A man is riding a motor scooter.	0	0	0	0	0
140	train	main-captions	MSRvid	2012test	204	3.0	someone is slicing a vegetable.	Someone is slicing a tomato.	0	0	0	0	0
141	train	main-captions	MSRvid	2012test	205	0.0	A woman is dancing.	A man is talking.	0	0	0	0	0
142	train	main-captions	MSRvid	2012test	207	2.2	A dog licks up a baby's drool.	A dog licks a baby.	0	1	1	0	1
143	train	main-captions	MSRvid	2012test	208	0.4	A man is rowing a boat.	A man is slicing a tomato.	0	0	0	0	0
144	train	main-captions	MSRvid	2012test	210	4.8	A man cuts up potatos.	A man slices potatoes.	1	1	1	1	1
145	train	main-captions	MSRvid	2012test	212	4.8	A woman is chopping up garlic.	The woman is dicing garlic.	1	1	1	1	1
146	train	main-captions	MSRvid	2012test	214	3.8	An animal run in circles.	A squirrel runs in circles.	1	0	1	0	1
147	train	main-captions	MSRvid	2012test	215	3.0	A man is walking slowly across a rope bridge.	A boy is walking across a bridge.	0	0	0	0	0
148	train	main-captions	MSRvid	2012test	216	4.0	A man is playing the guitar.	A man seated in a room is playing the guitar.	0	0	0	0	0
149	train	main-captions	MSRvid	2012test	217	5.0	A man plays the flute.	A man is playing a flute.	1	1	1	1	1
150	train	main-captions	MSRvid	2012test	221	3.8	A woman cracks two eggs into a glass bowl.	A woman is cracking an egg into a bowl.	0	0	1	0	0
151	train	main-captions	MSRvid	2012test	223	3.0	A man is cutting a fish.	A man guts a fish.	0	0	1	0	0
152	train	main-captions	MSRvid	2012test	224	4.4	Two men are packing suitcases into the trunk of a car.	The men are putting suitcases into the car's trunk.	1	1	1	1	1
153	train	main-captions	MSRvid	2012test	226	3.8	A man pours oil on some tomatos.	The man poured oil on the cut tomatoes.	0	0	1	0	0
154	train	main-captions	MSRvid	2012test	227	3.0	A man is slicing something.	A man is slicing a bun.	1	1	1	1	1
155	train	main-captions	MSRvid	2012test	230	0.667	A man is paddling a canoe.	A man is playing a harp.	0	0	0	0	0
156	train	main-captions	MSRvid	2012test	231	4.0	A man and woman are walking together through the woods.	A man and woman are walking arm in arm through a wooded area.	1	1	1	1	1
157	train	main-captions	MSRvid	2012test	233	3.75	The woman picked up the kangaroo.	A woman picks up a baby kangaroo.	0	0	1	0	0
158	train	main-captions	MSRvid	2012test	234	4.133	Fish are swimming.	A fish is swimming.	0	0	0	0	0
159	train	main-captions	MSRvid	2012test	235	4.0	Two women mix something in a food processor.	Two women make something in a blender.	0	0	1	0	0
160	train	main-captions	MSRvid	2012test	237	3.6	A person is surfing a large wave.	A person is surfing.	0	0	1	0	0
161	train	main-captions	MSRvid	2012test	238	1.2	A man is playing a guitar.	A man is stabbing a target.	0	0	0	0	0
162	train	main-captions	MSRvid	2012test	239	1.6	A man is playing a flute in a band.	A man is playing a guitar.	0	0	0	0	0
163	train	main-captions	MSRvid	2012test	240	4.0	The man spread butter on the loaf of bread.	A man is spreading butter onto bread.	1	0	1	0	1
164	train	main-captions	MSRvid	2012test	241	4.0	A person is boiling noodles.	A woman is boiling noodles in water.	0	0	1	0	0
165	train	main-captions	MSRvid	2012test	243	3.2	A group of people dance on a hill.	A group of people are dancing.	0	0	1	0	0
166	train	main-captions	MSRvid	2012test	245	1.0	A man is dancing outside.	A man is playing flute.	0	0	0	0	0
167	train	main-captions	MSRvid	2012test	246	1.0	A woman is feeding a man.	A woman is mixing meat.	0	0	0	0	0
168	train	main-captions	MSRvid	2012test	247	0.6	A man is putting a pan into an oven.	A woman is cutting an onion.	0	0	0	0	0
169	train	main-captions	MSRvid	2012test	249	0.4	A woman is sitting at a desk.	A woman is riding a donkey.	0	0	0	0	0
170	train	main-captions	MSRvid	2012test	250	3.4	Medics transport a patient on a stretcher.	A doctor rushes a patient on a stretcher.	0	0	1	0	0
171	train	main-captions	MSRvid	2012test	252	3.6	A woman is playing a flute on stage.	The woman is playing the flute.	1	1	1	1	1
172	train	main-captions	MSRvid	2012test	254	3.0	Two baby pandas are playing.	Two pandas are laying together.	0	0	0	0	0
173	train	main-captions	MSRvid	2012test	256	4.0	A baby is laughing.	A baby is laughing and giggling.	1	0	1	0	1
174	train	main-captions	MSRvid	2012test	257	1.2	A man is playing a guitar.	A boy is playing a piano.	0	0	0	0	0
175	train	main-captions	MSRvid	2012test	259	0.6	A man is folding paper.	A woman is slicing a pepper.	0	0	0	0	0
176	train	main-captions	MSRvid	2012test	260	1.6	Three women are dancing.	The man is dancing.	0	0	0	0	0
177	train	main-captions	MSRvid	2012test	262	2.6	The cats are playing with each other.	Two cats are fighting each other.	0	0	0	0	0
178	train	main-captions	MSRvid	2012test	263	3.6	A person is writing.	A person is writing with a pencil.	0	0	0	0	0
179	train	main-captions	MSRvid	2012test	267	3.5	A man is running.	A man is running down a road.	0	1	1	0	1
180	train	main-captions	MSRvid	2012test	268	3.765	The woman is rolling dough.	A woman is flouring and rolling dough.	0	0	1	0	0
181	train	main-captions	MSRvid	2012test	269	2.75	A woman is adding spices on a meat.	Woman is adding sugar to meat.	0	0	0	0	0
182	train	main-captions	MSRvid	2012test	270	2.25	A woman is adding oil on fishes.	A woman is pouring water on fish.	0	0	0	0	0
183	train	main-captions	MSRvid	2012test	271	2.75	A young boy is holding a guitar.	A little boy is playing a guitar.	1	0	1	0	1
184	train	main-captions	MSRvid	2012test	272	3.8	A cheetah is running.	A cheetah is running across a field.	0	1	1	0	1
185	train	main-captions	MSRvid	2012test	273	4.8	The man is eating pizza.	A man is eating a slice of pizza.	0	0	1	0	0
186	train	main-captions	MSRvid	2012test	274	3.6	An orangutan is riding a bus.	A monkey is riding on a bus.	0	0	1	0	0
187	train	main-captions	MSRvid	2012test	275	1.2	A man and a woman talk in a diner.	A man and a woman are riding on a bicycle.	0	0	0	0	0
188	train	main-captions	MSRvid	2012test	277	0.4	A man is playing a guitar.	A man is cleaning a glass door.	0	0	0	0	0
189	train	main-captions	MSRvid	2012test	278	2.4	A girl is singing and playing a guitar.	A young man is singing while playing the guitar.	0	0	1	0	0
190	train	main-captions	MSRvid	2012test	282	3.941	A girl is communicating with sign language.	A young girl is using sign language.	1	1	1	1	1
191	train	main-captions	MSRvid	2012test	283	0.5	A woman is doing weight exercises.	A woman is doing her hair.	0	0	0	0	0
192	train	main-captions	MSRvid	2012test	284	3.75	A man is getting inside a car.	An elderly man is getting into a red car.	0	0	0	0	0
193	train	main-captions	MSRvid	2012test	285	4.0	A big green ball knocks a potato over.	A large green ball hits a potato.	1	1	1	1	1
194	train	main-captions	MSRvid	2012test	287	3.0	A cat is playing keyboards.	A cat is playing a piano.	0	0	1	0	0
195	train	main-captions	MSRvid	2012test	288	4.2	Two dogs swim in a pool.	Dogs are swimming in a pool.	1	0	1	0	1
196	train	main-captions	MSRvid	2012test	290	2.0	The man used a chopper to chop the onion.	The man used a machine to chop up a potatoe.	0	1	0	0	0
197	train	main-captions	MSRvid	2012test	291	5.0	A woman slices tofu.	A woman is cutting tofu.	1	1	1	1	1
198	train	main-captions	MSRvid	2012test	292	3.0	A herd of deer are crossing the street.	A herd of caribou are crossing a road.	1	1	1	1	1
199	train	main-captions	MSRvid	2012test	293	3.8	The person is riding the horse.	A man is riding a horse.	1	1	1	1	1
200	train	main-captions	MSRvid	2012test	294	0.0	Someone is feeding a animal.	Someone is playing a piano.	0	0	0	0	0
201	train	main-captions	MSRvid	2012test	295	0.0	Someone is slicing tortila's.	Someone is riding a horse.	0	0	0	0	0
202	train	main-captions	MSRvid	2012test	296	0.25	Someone is mixing ingrediants.	Someone is sewing things.	0	0	0	0	0
203	train	main-captions	MSRvid	2012test	297	4.0	A rooster pecks at a dead mouse.	A chicken is pecking at a dead mouse.	1	1	1	1	1
204	train	main-captions	MSRvid	2012test	298	3.25	A woman holds a kangaroo.	A woman is picking up a kangaroo.	0	0	1	0	0
205	train	main-captions	MSRvid	2012test	299	0.75	A man is playing with frogs	A cat is playing with a camera.	0	0	0	0	0
206	train	main-captions	MSRvid	2012test	300	1.5	Two men are talking.	Two men are playing guitar.	0	0	0	0	0
207	train	main-captions	MSRvid	2012test	303	3.5	A man spreads butter on a big piece of bread.	A man is smearing butter on a slice of garlic bread.	1	1	1	1	1
208	train	main-captions	MSRvid	2012test	304	3.0	A man is running across a high wire.	A man is running on rope.	0	0	0	0	0
209	train	main-captions	MSRvid	2012test	307	0.2	A man is mowing a lawn.	A woman is cutting a lemon.	0	0	0	0	0
210	train	main-captions	MSRvid	2012test	309	0.8	A man is opening a door.	A man is playing a guitar.	0	0	0	0	0
211	train	main-captions	MSRvid	2012test	311	4.2	A man is slicing a potato into pieces.	A man is cutting a potato.	1	1	1	1	1
212	train	main-captions	MSRvid	2012test	312	3.8	The woman is cutting cooked octopus.	A woman is chopping octopus.	0	0	1	0	0
213	train	main-captions	MSRvid	2012test	314	0.4	A man is punching through boards.	A dog is running through water.	0	0	0	0	0
214	train	main-captions	MSRvid	2012test	316	0.8	A man is dancing.	A man is eating bread.	0	0	0	0	0
215	train	main-captions	MSRvid	2012test	317	1.2	Someone is playing a piano.	A man is playing a guitar.	0	0	0	0	0
216	train	main-captions	MSRvid	2012test	318	2.8	Two foxes are eating from a plate on a brick patio.	Foxes are eating from a plate.	0	0	0	0	0
217	train	main-captions	MSRvid	2012test	319	3.2	A boy is playing a key-board.	A boy is playing the piano.	0	0	1	0	0
218	train	main-captions	MSRvid	2012test	320	5.0	A person plays a keyboard.	Someone is playing a keyboard.	1	1	1	1	1
219	train	main-captions	MSRvid	2012test	322	0.0	A man is shooting a gun.	A man is spitting.	0	0	0	0	0
220	train	main-captions	MSRvid	2012test	323	1.0	Someone is slicing an onion.	Someoen is peeling a potato.	0	0	0	0	0
221	train	main-captions	MSRvid	2012test	325	0.0	A man is swimming.	A woman is slicing meat.	0	0	0	0	0
222	train	main-captions	MSRvid	2012test	327	3.75	A man is playing the guitar.	A man plays an acoustic guitar.	1	1	1	1	1
223	train	main-captions	MSRvid	2012test	328	0.4	A woman is slicing a pumpkin.	A woman is riding an elephant.	0	0	0	0	0
224	train	main-captions	MSRvid	2012test	329	0.4	A woman is dancing.	A woman is kneading dough.	0	0	0	0	0
225	train	main-captions	MSRvid	2012test	331	0.6	A woman is cracking eggs into a bowl.	A woman is placing skewers onto a rack.	0	0	0	0	0
226	train	main-captions	MSRvid	2012test	332	4.0	A car is moving through a road.	A car is driving down the road.	1	1	1	1	1
227	train	main-captions	MSRvid	2012test	334	0.4	Someone is greasing a pan.	Smeone is laying down.	0	0	0	0	0
228	train	main-captions	MSRvid	2012test	335	0.4	A man is playing guitar.	A man is draining pasta.	0	0	0	0	0
229	train	main-captions	MSRvid	2012test	336	0.4	A woman is drinking vodka.	A woman is exercising.	0	0	0	0	0
230	train	main-captions	MSRvid	2012test	339	4.8	A woman is cutting meat into pieces.	A woman is cutting up some meat.	1	1	1	1	1
231	train	main-captions	MSRvid	2012test	342	0.6	A man is rinsing a steak.	A man is playing a guitar.	0	0	0	0	0
